"lat";"lon";"PLBTS1";"PLBTS2";"PLBTS3";"PLBTS4";"PLBTS5";"PLBTS6";"SqEuclidean1";"SqEuclidean2";"SqEuclidean3";"latM";"longM";"distance";"Point_i";"Point_j"
-8.06967;-34.898144;103.59;119.59;116.19;115.29;118.19;110.14;"(18,16)";"(88,81)";"(175,162)";-8.069708030789311;-34.898069400372684;0.009240345766740226;175;162
-8.065813;-34.89003;140.6233333333333;132.9233333333333;130.6566666666667;124.59;116.49000000000001;135.1566666666667;"(28,35)";"(131,164)";"(262,325)";-8.065800275366216;-34.890674894150145;0.07103374250091034;262;325
-8.076429;-34.895855;118.69;92.09;128.0233333333333;121.09;129.2233333333333;137.2233333333333;"(2,19)";"(8,89)";"(15,177)";-8.076894707429485;-34.89738876878032;0.1766676855673181;15;177
-8.069386;-34.895351;106.2566666666667;122.6233333333333;118.5566666666667;110.2566666666667;120.4566666666667;111.7566666666667;"(20,21)";"(98,102)";"(195,204)";-8.06880969620929;-34.896164051331155;0.11011710317606015;195;204
-8.073133;-34.896339;98.54;107.44;123.39;101.14;119.94;133.89;"(11,20)";"(52,97)";"(102,194)";-8.07298695200639;-34.89661761898936;0.03471750875714401;102;194
-8.070443;-34.893242;101.35666666666671;122.09;122.6233333333333;104.2233333333333;105.69;106.89;"(17,26)";"(84,126)";"(166,255)";-8.07011228135032;-34.89385035622015;0.07642941286804691;166;255
-8.061462;-34.902924;133.6233333333333;114.9566666666667;130.1566666666667;134.49;129.79000000000002;129.85666666666668;"(36,6)";"(177,37)";"(354,74)";-8.061667936298116;-34.90206166957136;0.09768936240471753;354;74
-8.068697;-34.89629;109.59;122.5233333333333;118.99000000000001;105.1233333333333;119.89;109.52333333333331;"(20,21)";"(98,102)";"(196,203)";-8.068764779480288;-34.896209418193855;0.011644052660324209;196;203
-8.068423;-34.889637;120.82333333333331;135.1566666666667;134.0566666666667;119.2566666666667;103.3233333333333;130.6566666666667;"(21,35)";"(98,174)";"(198,349)";-8.068674946022286;-34.889586009640006;0.028580104647934448;198;349
-8.070153;-34.88966;112.79;140.09;131.75666666666672;118.35666666666671;110.7566666666667;136.89;"(17,35)";"(83,173)";"(166,346)";-8.07011228135032;-34.88972205137156;0.008197991175843323;166;346
-8.066543;-34.895298;111.8233333333333;115.7566666666667;120.9566666666667;122.0566666666667;120.89;98.4566666666667;"(25,22)";"(122,112)";"(244,223)";-8.066608776488236;-34.8953021553102;0.007330375474535586;244;223
-8.072683;-34.896694;96.52333333333331;98.09;118.35666666666671;90.3233333333333;129.89;129.6566666666667;"(12,20)";"(56,96)";"(111,192)";-8.07258270144538;-34.896708360303066;0.011267372181051975;111;192
-8.070448;-34.897099;89.39;119.19;120.2233333333333;107.49000000000001;124.49000000000001;112.49000000000001;"(16,19)";"(79,93)";"(158,186)";-8.07047161518233;-34.89698060186318;0.01330050562805011;158;186
-8.066382;-34.895679;122.4566666666667;122.1233333333333;123.82333333333331;124.4233333333333;121.8566666666667;95.79;"(24,25)";"(117,123)";"(233,247)";-8.067102860507248;-34.89421336738466;0.18022168221475357;233;247
-8.067836;-34.892719;122.24000000000001;131.24;124.99000000000001;121.84;107.39;107.69;"(23,29)";"(114,144)";"(227,288)";-8.067372360881254;-34.89235336705666;0.06542677344409578;227;288
-8.077415;-34.898731;126.165;80.315;118.965;122.765;129.66500000000002;137.815;"(1,15)";"(1,68)";"(1,136)";-8.0775235416355;-34.8992487959203;0.058285192479953354;1;136
-8.069916;-34.897545;108.89;118.79;114.74000000000001;114.19;120.19;102.04;"(19,13)";"(95,62)";"(190,124)";-8.069034279854295;-34.89979331550768;0.26631095861729065;190;124
-8.072404;-34.900688;115.64;116.69;122.64;121.09;139.94;127.19;"(11,11)";"(57,52)";"(114,104)";-8.072447951258377;-34.900700593166256;0.005081441819248755;114;104
-8.070345;-34.89344;97.99000000000001;122.34;122.39;101.54;104.39;106.24000000000001;"(17,26)";"(83,128)";"(166,255)";-8.07011228135032;-34.89385035622015;0.05207857379546354;166;255
-8.074222;-34.890263;101.9912195121951;139.709512195122;125.5863414634146;121.1485365853659;123.53512195121951;138.91195121951222;"(8,34)";"(37,167)";"(74,334)";-8.07424462041842;-34.8902662884596;0.002541914863128458;74;334
-8.063306;-34.901398;141.09;132.09;131.89;126.8566666666667;135.1233333333333;133.82333333333332;"(32,9)";"(160,45)";"(319,89)";-8.063240021813154;-34.901381178369874;0.007568722620336149;319;89
-8.074529;-34.900295;122.5233333333333;109.52333333333331;118.49000000000001;123.0233333333333;137.1566666666667;134.35666666666668;"(7,12)";"(35,57)";"(70,112)";-8.074424287334425;-34.9003376384194;0.012557699880722842;70;112
